date,score,source,target,weight
20180323,0.323363252,24,87,1
20180323,-0.99,24,93,1
20180323,-0.45751962799999996,26,33,1
20180323,-0.074263013,26,35,1
20180323,-0.130363161,26,69,1
20180323,-0.142268964,26,87,1
20180323,-0.002051056,27,34,1
20180323,-0.488229775,31,32,1
20180323,-0.203813048,31,35,1
20180323,-0.351769526,32,35,1
20180323,-0.8216474970000001,32,39,1
20180323,0.19540501600000001,32,42,1
20180323,0.19540501600000001,32,59,1
20180323,0.8043778490000001,33,34,1
20180323,-0.001833354,33,35,1
20180323,-0.252316451,33,57,1
20180323,-0.150970499,34,35,1
20180323,-0.13852199099999998,34,57,1
20180323,0.165162418,36,92,1
20180323,0.499131761,42,59,1
20180323,-0.395610911,57,93,1
20180323,-0.63820712,69,87,1
20180324,-0.7587661059999999,4,24,1
20180324,-0.228282135,4,26,1
20180324,-0.29082489300000003,4,31,1
20180324,-0.074300146,4,35,1
20180324,-0.17038125399999998,18,19,1
20180324,0.621201831,18,33,1
20180324,-0.003005406,19,33,1
20180324,0.036825026000000004,19,34,1
20180324,-0.230359643,19,57,1
20180324,0.33819551200000003,24,36,1
20180324,0.331519911,24,87,1
20180324,-0.99,24,93,1
20180324,-0.460356255,26,33,1
20180324,-0.074285333,26,35,1
20180324,-0.12663296,26,69,1
20180324,-0.139070191,26,87,1
20180324,-0.004147457,27,34,1
20180324,-0.484891285,31,32,1
20180324,-0.20549151,31,35,1
20180324,-0.35194020299999995,32,35,1
20180324,-0.825450275,32,39,1
20180324,0.191408795,32,42,1
20180324,0.191408795,32,59,1
20180324,0.808276277,33,34,1
20180324,-0.001777481,33,35,1
20180324,-0.259385751,33,57,1
20180324,-0.150911015,34,35,1
20180324,-0.131441186,34,57,1
20180324,0.151802018-03-10,36,92,1
20180324,0.492761379,42,59,1
20180324,-0.396553139,57,93,1
20180324,-0.630381029,69,87,1
20180325,-0.846365652,4,24,1
20180325,-0.349041375,4,26,1
20180325,-0.6274766589999999,4,31,1
20180325,-0.07405304,4,35,1
20180325,-0.14671633,18,19,1
20180325,0.621658585,18,33,1
20180325,0.019889397,19,33,1
20180325,0.10581190900000001,19,34,1
20180325,-0.211151308,19,57,1
20180325,-0.06898082900000001,24,36,1
20180325,0.35285103799999995,24,87,1
20180325,-0.96813744,24,93,1
20180325,-0.41359396,26,33,1
20180325,-0.201570053,26,35,1
20180325,-0.25187115,26,69,1
20180325,-0.19241385600000002,26,87,1
20180325,-0.0027013540000000004,27,34,1
20180325,-0.356293261,31,32,1
20180325,-0.333932612,31,35,1
20180325,-0.35894944700000003,32,35,1
20180325,-0.784340927,32,39,1
20180325,0.226302698,32,42,1
20180325,0.226302698,32,59,1
20180325,0.8384853179999999,33,34,1
20180325,-0.001157723,33,35,1
20180325,-0.22359037,33,57,1
20180325,-0.149943515,34,35,1
20180325,-0.117685481,34,57,1
20180325,0.16787503199999998,36,92,1
20180325,0.507553375,42,59,1
20180325,-0.367414745,57,93,1
20180325,-0.787804928,69,87,1
20180326,-0.807674164,4,24,1
20180326,-0.34321280600000004,4,26,1
20180326,-0.607062054,4,31,1
20180326,-0.073432201,4,35,1
20180326,-0.11394775,18,19,1
20180326,0.635629007,18,33,1
20180326,-0.10746313699999999,19,33,1
20180326,0.009629771,19,34,1
20180326,-0.185918952,19,57,1
20180326,-0.19654404399999997,24,36,1
20180326,0.35594874200000004,24,87,1
20180326,-0.99,24,93,1
20180326,-0.39242311700000004,26,33,1
20180326,-0.19903546,26,35,1
20180326,-0.249197285,26,69,1
20180326,-0.176728523,26,87,1
20180326,-0.35165226200000005,31,32,1
20180326,-0.329002309,31,35,1
20180326,-0.352877519,32,35,1
20180326,-0.755575254,32,39,1
20180326,0.22868333,32,42,1
20180326,0.22868333,32,59,1
20180326,0.756535614,33,34,1
20180326,-0.19300061,33,57,1
20180326,-0.147102494,34,35,1
20180326,-0.089456447,34,57,1
20180326,0.144805502,36,92,1
20180326,0.511322168,42,59,1
20180326,-0.45727940899999997,57,93,1
20180326,-0.7928502270000001,69,87,1
20180327,-0.920930261,4,24,1
20180327,-0.35255103299999996,4,26,1
20180327,-0.6107728339999999,4,31,1
20180327,-0.07733053200000001,4,35,1
20180327,-0.085216874,18,19,1
20180327,0.601392585,18,33,1
20180327,-0.13496076199999998,19,33,1
